model,component,epoch,start_epoch_time,end_epoch_time,train_loss,val_loss
20250703155658_t1_linear_regression.pt,main,2,2025-07-03 15:56:58,2025-07-03 15:56:58,0.5863451957702637,0.6396903395652771
20250703155658_t1_linear_regression.pt,main,3,2025-07-03 15:56:58,2025-07-03 15:56:58,0.5852760672569275,0.6385682225227356
20250703155658_t1_linear_regression.pt,main,4,2025-07-03 15:56:58,2025-07-03 15:56:58,0.5842069387435913,0.6374460458755493
20250703155658_t1_linear_regression.pt,main,5,2025-07-03 15:56:58,2025-07-03 15:56:58,0.5831377506256104,0.6363239884376526
20250703155658_t1_lstm.pt,main,1,2025-07-03 15:56:58,2025-07-03 15:56:58,0.717852948485194,0.6716691255569458
20250703155658_t1_lstm.pt,main,2,2025-07-03 15:56:58,2025-07-03 15:56:58,0.6033563589727556,0.49749037623405457
20250703155658_t1_lstm.pt,main,3,2025-07-03 15:56:58,2025-07-03 15:56:58,0.4262230009646029,0.23303362727165222
20250703155658_t1_lstm.pt,main,4,2025-07-03 15:56:58,2025-07-03 15:56:58,0.2641569665960363,0.1582593023777008
20250703155658_t1_lstm.pt,main,5,2025-07-03 15:56:58,2025-07-03 15:56:58,0.2020958335818471,0.20313799381256104
20250703155658_t1_linear_regression.pt,main,1,2025-07-03 15:56:58,2025-07-03 15:56:58,0.5463651418685913,0.3783399760723114
20250703155658_t1_linear_regression.pt,main,2,2025-07-03 15:56:58,2025-07-03 15:56:58,0.5403403043746948,0.3762888014316559
20250703155658_t1_linear_regression.pt,main,3,2025-07-03 15:56:58,2025-07-03 15:56:58,0.5360886454582214,0.3746075928211212
20250703155658_t1_linear_regression.pt,main,4,2025-07-03 15:56:58,2025-07-03 15:56:58,0.5326354503631592,0.3731471300125122
20250703155658_t1_linear_regression.pt,main,5,2025-07-03 15:56:58,2025-07-03 15:56:58,0.529656171798706,0.3718423545360565
20250703155658_t1_lstm.pt,main,1,2025-07-03 15:56:58,2025-07-03 15:56:58,0.3758743107318878,0.1765541285276413
20250703155658_t1_lstm.pt,main,2,2025-07-03 15:56:58,2025-07-03 15:56:58,0.3172852396965027,0.13186021149158478
20250703155658_t1_lstm.pt,main,3,2025-07-03 15:56:58,2025-07-03 15:56:59,0.2811811566352844,0.09899253398180008
20250703155658_t1_lstm.pt,main,4,2025-07-03 15:56:59,2025-07-03 15:56:59,0.24610456824302673,0.07978159189224243
20250703155658_t1_lstm.pt,main,5,2025-07-03 15:56:59,2025-07-03 15:56:59,0.22443357110023499,0.06965377926826477
20250703155659_t1_linear_regression.pt,main,1,2025-07-03 15:56:59,2025-07-03 15:56:59,0.4002181589603424,0.10045117139816284
20250703155659_t1_linear_regression.pt,main,2,2025-07-03 15:56:59,2025-07-03 15:56:59,0.40016382932662964,0.10044384747743607
20250703155659_t1_linear_regression.pt,main,3,2025-07-03 15:56:59,2025-07-03 15:56:59,0.4001253843307495,0.10043786466121674
20250703155659_t1_linear_regression.pt,main,4,2025-07-03 15:56:59,2025-07-03 15:56:59,0.40009403228759766,0.10043268650770187
20250703155659_t1_linear_regression.pt,main,5,2025-07-03 15:56:59,2025-07-03 15:56:59,0.40006688237190247,0.10042805224657059
20250703155659_t1_lstm.pt,main,1,2025-07-03 15:56:59,2025-07-03 15:56:59,0.37698330669789704,0.25147631764411926
20250703155659_t1_lstm.pt,main,2,2025-07-03 15:56:59,2025-07-03 15:56:59,0.3293531367907653,0.13974906504154205
20250703155659_t1_lstm.pt,main,3,2025-07-03 15:56:59,2025-07-03 15:56:59,0.279993143436071,0.16999448835849762
20250703155659_t1_lstm.pt,main,4,2025-07-03 15:56:59,2025-07-03 15:56:59,0.2397070208916793,0.22061589360237122
20250703155659_t1_lstm.pt,main,5,2025-07-03 15:56:59,2025-07-03 15:56:59,0.20341582475481806,0.20576609671115875
20250703155659_t1_linear_regression.pt,main,1,2025-07-03 15:56:59,2025-07-03 15:56:59,0.46706256753689535,0.3917646110057831
20250703155659_t1_linear_regression.pt,main,2,2025-07-03 15:56:59,2025-07-03 15:56:59,0.452181605068413,0.3816105127334595
20250703155659_t1_linear_regression.pt,main,3,2025-07-03 15:56:59,2025-07-03 15:56:59,0.4374092567611385,0.3716007471084595
20250703155659_t1_linear_regression.pt,main,4,2025-07-03 15:56:59,2025-07-03 15:56:59,0.4227366084988053,0.36185452342033386
20250703155659_t1_linear_regression.pt,main,5,2025-07-03 15:56:59,2025-07-03 15:56:59,0.40822658989880534,0.3528691828250885
20250703155659_t1_lstm.pt,main,1,2025-07-03 15:56:59,2025-07-03 15:56:59,0.5269169807434082,0.548481285572052
20250703155659_t1_lstm.pt,main,2,2025-07-03 15:56:59,2025-07-03 15:56:59,0.5194137096405029,0.5421385169029236
20250703155659_t1_lstm.pt,main,3,2025-07-03 15:56:59,2025-07-03 15:56:59,0.5153115391731262,0.5357778072357178
20250703155659_t1_lstm.pt,main,4,2025-07-03 15:56:59,2025-07-03 15:56:59,0.5081650614738464,0.5294045209884644
20250703155659_t1_lstm.pt,main,5,2025-07-03 15:56:59,2025-07-03 15:56:59,0.5023385882377625,0.5231411457061768
20250703155700_t1_linear_regression.pt,main,1,2025-07-03 15:57:00,2025-07-03 15:57:00,0.3388962149620056,0.1405336558818817
20250703155700_t1_linear_regression.pt,main,2,2025-07-03 15:57:00,2025-07-03 15:57:00,0.2948385179042816,0.1330011487007141
20250703155700_t1_linear_regression.pt,main,3,2025-07-03 15:57:00,2025-07-03 15:57:00,0.26747408509254456,0.1276259422302246
20250703155700_t1_linear_regression.pt,main,4,2025-07-03 15:57:00,2025-07-03 15:57:00,0.24744562804698944,0.12334515899419785
20250703155700_t1_linear_regression.pt,main,5,2025-07-03 15:57:00,2025-07-03 15:57:00,0.23164352774620056,0.11991899460554123
20250703155700_t1_lstm.pt,main,1,2025-07-03 15:57:00,2025-07-03 15:57:00,0.2818242915578791,0.05156029015779495
20250703155700_t1_lstm.pt,main,2,2025-07-03 15:57:00,2025-07-03 15:57:00,0.26870443047703924,0.0511510856449604
20250703155700_t1_lstm.pt,main,3,2025-07-03 15:57:00,2025-07-03 15:57:00,0.2592460243283091,0.052399322390556335
20250703155700_t1_lstm.pt,main,4,2025-07-03 15:57:00,2025-07-03 15:57:00,0.25059801179009517,0.054015085101127625
20250703155700_t1_lstm.pt,main,5,2025-07-03 15:57:00,2025-07-03 15:57:00,0.242315784902186,0.05549372732639313
20250703155700_t1_linear_regression.pt,main,1,2025-07-03 15:57:00,2025-07-03 15:57:00,0.33752089416658554,0.11009275913238525
20250703155700_t1_linear_regression.pt,main,2,2025-07-03 15:57:00,2025-07-03 15:57:00,0.3366387268981418,0.10995884239673615
